id,name,created_at,admin_user_id
1,VIRTUSA SINGAPORE PRIVATE LIMITED,2026-01-24 16:52:37.938283+00,
2,MAESTRO HUMAN RESOURCE PTE. LTD.,2026-01-24 16:52:37.938283+00,
3,CENTRAL PROVIDENT FUND BOARD,2026-01-24 16:52:37.938283+00,
4,Jump Trading,2026-01-24 16:52:37.938283+00,
5,EY Singapore,2026-01-24 16:52:37.938283+00,
6,AMD Singapore,2026-01-24 16:52:37.938283+00,
7,EMQ2 Technology Services,2026-01-24 16:52:37.938283+00,
8,Razer Inc.,2026-01-24 16:52:37.938283+00,
9,Keppel,2026-01-24 16:52:37.938283+00,
10,Allianz,2026-01-24 16:52:37.938283+00,
11,Motional,2026-01-24 16:52:37.938283+00,
12,GIC Private Limited,2026-01-24 16:52:37.938283+00,
13,HP Singapore,2026-01-24 16:52:37.938283+00,
14,Hitachi Singapore,2026-01-24 16:52:37.938283+00,
15,ASM,2026-01-24 16:52:37.938283+00,
16,Plaud,2026-01-24 16:52:37.938283+00,
17,Selby Jennings,2026-01-24 16:52:37.938283+00,
18,Replicast AI Pte Ltd,2026-01-24 16:52:37.938283+00,
19,INNOWAVE TECH PTE. LTD.,2026-01-24 16:52:37.938283+00,
20,J.P. Morgan Singapore,2026-01-24 16:52:37.938283+00,
21,SBI Digital Markets Pte Ltd,2026-01-24 16:52:37.938283+00,
22,Websparks Pte Ltd,2026-01-24 16:52:37.938283+00,
23,ShopBack,2026-01-24 16:52:37.938283+00,
24,CapitaLand,2026-01-24 16:52:37.938283+00,
25,Tan Tock Seng Hospital,2026-01-24 16:52:37.938283+00,
26,GE Aerospace Singapore,2026-01-24 16:52:37.938283+00,
27,RAZER (ASIA-PACIFIC) PTE. LTD.,2026-01-24 16:52:37.938283+00,
28,Cognizant,2026-01-24 16:52:37.938283+00,
29,AECOM Singapore,2026-01-24 16:52:37.938283+00,
30,Barclays,2026-01-24 16:52:37.938283+00,
31,Stripe,2026-01-24 16:52:37.938283+00,
32,Infineon Technologies Singapore,2026-01-24 16:52:37.938283+00,
33,PRESTO LABS PTE. LTD.,2026-01-24 16:52:37.938283+00,
34,Bellman Foundry,2026-01-24 16:52:37.938283+00,
35,Western Digital,2026-01-24 16:52:37.938283+00,
36,VISA WORLDWIDE PTE. LIMITED,2026-01-24 16:52:37.938283+00,
37,Padlet,2026-01-24 16:52:37.938283+00,
38,TP ICAP,2026-01-24 16:52:37.938283+00,
39,Wintermute,2026-01-24 16:52:37.938283+00,
40,Crypto.com,2026-01-24 16:52:37.938283+00,
41,Palantir Technologies,2026-01-24 16:52:37.938283+00,
42,SES WORLD SKIES SINGAPORE PTE. LTD.,2026-01-24 16:52:37.938283+00,
43,UOB Singapore,2026-01-24 16:52:37.938283+00,
44,OneWorld Rental - Global Technology Hire,2026-01-24 16:52:37.938283+00,
45,DWF,2026-01-24 16:52:37.938283+00,
46,Aon Singapore,2026-01-24 16:52:37.938283+00,
47,Siemens,2026-01-24 16:52:37.938283+00,
48,JPMorgan Chase & Co.,2026-01-24 16:52:37.938283+00,
49,Illumina,2026-01-24 16:52:37.938283+00,
50,HydraX Pte Ltd,2026-01-24 16:52:37.938283+00,
51,Amazon Singapore,2026-01-24 16:52:37.938283+00,
52,Bank of America,2026-01-24 16:52:37.938283+00,
53,Johnson Controls Singapore,2026-01-24 16:52:37.938283+00,
54,WIPRO LIMITED (Singapore Branch),2026-01-24 16:52:37.938283+00,
55,HYPOTENUSE TECHNOLOGIES PTE. LTD.,2026-01-24 16:52:37.938283+00,
